"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 27 14:25:44 GMT 2024","Thu Jun 27 14:25:45 GMT 2024","1449","test.ui_tests.gateway","test_gateway_service","TestGatewayService","","","test_add_gateway_service_duplicate",""
"passed","Thu Jun 27 14:25:49 GMT 2024","Thu Jun 27 14:25:52 GMT 2024","3247","test.ui_tests.gateway","test_route","TestRoute","","","test_new_route",""
"passed","Thu Jun 27 14:25:40 GMT 2024","Thu Jun 27 14:25:42 GMT 2024","2132","test.ui_tests.gateway","test_gateway_service","TestGatewayService","","","test_new_gateway_service_parameterized[paras1]",""
"passed","Thu Jun 27 14:25:32 GMT 2024","Thu Jun 27 14:25:34 GMT 2024","1371","test.ui_tests.gateway","test_gateway_service","TestGatewayService","","","test_new_gateway_service",""
"passed","Thu Jun 27 14:25:36 GMT 2024","Thu Jun 27 14:25:38 GMT 2024","1778","test.ui_tests.gateway","test_gateway_service","TestGatewayService","","","test_new_gateway_service_parameterized[paras0]",""
