"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 23 11:17:20 GMT 2024","Sun Jun 23 11:17:22 GMT 2024","1531","test.ui_tests.gateway","test_gateway_service","TestGatewayService","","","test_new_gateway_service_parameterized[paras0]",""
"passed","Sun Jun 23 11:17:16 GMT 2024","Sun Jun 23 11:17:18 GMT 2024","1530","test.ui_tests.gateway","test_gateway_service","TestGatewayService","","","test_new_gateway_service",""
"passed","Sun Jun 23 11:17:23 GMT 2024","Sun Jun 23 11:17:25 GMT 2024","1409","test.ui_tests.gateway","test_gateway_service","TestGatewayService","","","test_new_gateway_service_parameterized[paras1]",""
"passed","Sun Jun 23 11:17:27 GMT 2024","Sun Jun 23 11:17:28 GMT 2024","1285","test.ui_tests.gateway","test_gateway_service","TestGatewayService","","","test_add_gateway_service_duplicate",""
"passed","Sun Jun 23 11:17:31 GMT 2024","Sun Jun 23 11:17:34 GMT 2024","3048","test.ui_tests.gateway","test_route","TestRoute","","","test_new_route",""
