"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 24 02:22:28 GMT 2024","Mon Jun 24 02:22:30 GMT 2024","2117","test.ui_tests.gateway","test_gateway_service","TestGatewayService","","","test_new_gateway_service_parameterized[paras1]",""
"broken","Mon Jun 24 02:22:36 GMT 2024","Mon Jun 24 02:22:36 GMT 2024","470","test.ui_tests.gateway","test_gateway_service","TestGatewayService","","","test_add_gateway_service_duplicate",""
"broken","Mon Jun 24 02:22:40 GMT 2024","Mon Jun 24 02:22:40 GMT 2024","403","test.ui_tests.gateway","test_route","TestRoute","","","test_new_route",""
"passed","Mon Jun 24 02:22:22 GMT 2024","Mon Jun 24 02:22:23 GMT 2024","1281","test.ui_tests.gateway","test_gateway_service","TestGatewayService","","","test_new_gateway_service",""
"passed","Mon Jun 24 02:22:25 GMT 2024","Mon Jun 24 02:22:26 GMT 2024","1603","test.ui_tests.gateway","test_gateway_service","TestGatewayService","","","test_new_gateway_service_parameterized[paras0]",""
