"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 24 02:11:02 GMT 2024","Mon Jun 24 02:11:03 GMT 2024","1199","test.ui_tests.gateway","test_gateway_service","TestGatewayService","","","test_new_gateway_service",""
"passed","Mon Jun 24 02:11:12 GMT 2024","Mon Jun 24 02:11:13 GMT 2024","1276","test.ui_tests.gateway","test_gateway_service","TestGatewayService","","","test_add_gateway_service_duplicate",""
"passed","Mon Jun 24 02:11:16 GMT 2024","Mon Jun 24 02:11:19 GMT 2024","3266","test.ui_tests.gateway","test_route","TestRoute","","","test_new_route",""
"passed","Mon Jun 24 02:11:08 GMT 2024","Mon Jun 24 02:11:10 GMT 2024","1890","test.ui_tests.gateway","test_gateway_service","TestGatewayService","","","test_new_gateway_service_parameterized[paras1]",""
"passed","Mon Jun 24 02:11:04 GMT 2024","Mon Jun 24 02:11:06 GMT 2024","1771","test.ui_tests.gateway","test_gateway_service","TestGatewayService","","","test_new_gateway_service_parameterized[paras0]",""
